# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      47.94
2                      49.65
4                      46.50
8                      45.63
16                     45.59
32                     45.51
64                     45.54
128                    45.49
256                    45.61
512                    45.60
1024                   45.79
2048                   45.73
4096                   46.06
8192                   48.58
16384                  48.65
32768                  47.08
65536                  47.23
131072                 48.16
262144                 50.61
524288                 56.02
1048576                94.55
