# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.96
1                       3.11
2                       3.11
4                       3.11
8                       3.11
16                      3.12
32                      3.11
64                      3.12
128                     3.65
256                     3.73
512                     3.81
1024                    3.87
2048                    4.00
4096                    4.10
8192                    7.29
16384                   8.56
32768                  10.38
65536                  13.30
131072                 18.21
262144                 26.42
524288                 40.52
1048576                64.88
2097152               107.82
4194304               196.36
