# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.32
1                       1.94
2                       1.95
4                       1.94
8                       1.93
16                      1.95
32                      1.93
64                      1.93
128                     1.94
256                     1.95
512                     1.98
1024                    2.02
2048                    2.09
4096                    2.19
8192                    2.40
16384                   4.23
32768                   5.39
65536                   7.41
131072                 12.33
262144                 24.93
524288                 47.04
1048576                91.12
2097152               158.94
4194304               301.36
