# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      46.01
2                      45.99
4                      46.05
8                      46.24
16                     46.24
32                     46.03
64                     46.55
128                    45.94
256                    75.96
512                    76.56
1024                   99.63
2048                   87.53
4096                   88.65
8192                   92.00
16384                 101.79
32768                 139.90
65536                 217.30
131072                307.84
262144                488.15
524288                823.03
1048576              1474.87
