# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      36.36
2                      36.38
4                      36.35
8                      36.35
16                     36.45
32                     36.40
64                     36.80
128                    36.34
256                    68.20
512                    67.81
1024                   83.29
2048                   74.13
4096                   76.08
8192                   77.49
16384                  88.64
32768                 127.71
65536                 204.31
131072                273.28
262144                413.60
524288                658.30
1048576              1169.98
