# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.36
2                       6.35
4                       6.35
8                       6.34
16                      6.29
32                      6.28
64                      6.38
128                     7.00
256                     8.85
512                     9.05
1024                    9.27
2048                    9.76
4096                   10.07
8192                   16.68
16384                  18.87
32768                  19.70
65536                  29.69
131072                 32.83
262144                 49.73
524288                 89.09
1048576               156.96
