# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.64
2                       1.63
4                       1.64
8                       1.63
16                      1.63
32                      1.62
64                      1.68
128                     1.70
256                     1.76
512                     1.91
1024                    2.09
2048                    2.68
4096                    3.37
8192                    4.86
16384                  10.56
32768                  16.16
65536                  29.95
131072                 54.52
262144                106.51
524288                208.64
1048576               415.35
