# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.54
2                       1.56
4                       1.55
8                       1.55
16                      1.56
32                      1.53
64                      1.64
128                     1.65
256                     1.85
512                     1.94
1024                    2.21
2048                    2.56
4096                    3.25
8192                    4.55
16384                   9.95
32768                  15.53
65536                  29.04
131072                 54.37
262144                106.22
524288                209.00
1048576               411.68
