# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.23
2                       2.45
4                       4.89
8                       9.81
16                     19.62
32                     39.25
64                     76.43
128                   157.25
256                   293.34
512                   585.77
1024                 1170.61
2048                 2345.46
4096                 4673.29
8192                 8807.87
16384               17502.62
32768               20813.02
65536               22418.90
131072              23178.21
262144              23633.71
524288              23846.63
1048576             23952.41
2097152             24006.56
4194304             24038.62
