# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.18
2                       0.37
4                       0.73
8                       1.47
16                      2.90
32                      5.67
64                     10.95
128                    21.38
256                    23.91
512                    46.95
1024                   61.15
2048                  137.00
4096                  266.09
8192                  514.73
16384                 894.69
32768                1537.90
65536                2295.34
131072               3313.02
262144               3961.82
524288               4589.15
1048576              4874.14
2097152              5025.11
4194304              5205.98
