# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.42
2                       2.87
4                       5.79
8                      11.56
16                     22.47
32                     45.67
64                     86.51
128                   184.49
256                   347.15
512                   698.69
1024                 1212.08
2048                 1647.43
4096                 2326.36
8192                 3339.10
16384                2914.61
32768                3181.57
65536                3394.30
131072               3612.25
262144               3786.67
524288               4142.06
1048576              4415.87
2097152              4268.47
4194304              4282.22
