# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.43
2                       2.91
4                       5.87
8                      11.71
16                     23.31
32                     47.24
64                     95.15
128                   187.57
256                   367.42
512                   723.15
1024                 1280.46
2048                 1646.14
4096                 2310.21
8192                 2737.80
16384                2952.09
32768                3306.92
65536                3849.68
131072               3782.34
262144               7008.43
524288               7228.52
1048576              7386.00
2097152              7519.76
4194304              7703.75
