# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      15.50
1                      15.29
2                      15.30
4                      15.29
8                      15.29
16                     15.29
32                     15.67
64                     15.33
128                    15.34
256                    18.28
512                    22.29
1024                   24.83
2048                   21.91
4096                   22.97
8192                   22.94
16384                  24.64
32768                  30.21
65536                  46.64
131072                 59.28
262144                 86.99
524288                137.77
1048576               225.66
2097152               400.73
4194304               757.07
