# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      18.37
1                      18.43
2                      18.47
4                      18.43
8                      18.32
16                     18.39
32                     18.42
64                     18.57
128                    18.51
256                    26.12
512                    30.10
1024                   35.12
2048                   31.71
4096                   32.96
8192                   33.55
16384                  38.40
32768                  47.92
65536                  66.11
131072                 95.09
262144                135.93
524288                204.08
1048576               330.43
2097152               574.11
4194304              1029.43
