# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.04
1                       2.12
2                       2.12
4                       2.13
8                       2.12
16                      2.12
32                      2.12
64                      2.12
128                     2.71
256                     2.81
512                     2.84
1024                    2.94
2048                    3.08
4096                    3.20
8192                    5.46
16384                   5.79
32768                   6.47
65536                   7.83
131072                 10.55
262144                 15.94
524288                 26.77
1048576                48.54
2097152                92.10
4194304               179.07
