# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.09
1                       1.16
2                       1.21
4                       1.16
8                       1.20
16                      1.20
32                      1.14
64                      1.15
128                     1.18
256                     1.20
512                     1.52
1024                    1.64
2048                    2.07
4096                    2.65
8192                    4.05
16384                   8.16
32768                  12.42
65536                  21.19
131072                 39.17
262144                 73.37
524288                143.69
1048576               282.53
2097152               550.00
4194304              1038.14
