# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.27
1                       1.35
2                       1.44
4                       1.38
8                       1.36
16                      1.36
32                      1.31
64                      1.35
128                     1.33
256                     1.42
512                     1.61
1024                    1.76
2048                    2.24
4096                    2.87
8192                    3.72
16384                   7.97
32768                   9.68
65536                  13.24
131072                 21.97
262144                 65.59
524288                145.11
1048576               284.48
2097152               559.30
4194304              1090.82
