# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      33.27
2                      33.43
4                      33.64
8                      33.15
16                     33.10
32                     33.30
64                     33.86
128                    33.20
256                    78.41
512                    71.19
1024                  103.53
2048                   91.07
4096                   94.06
8192                   98.73
16384                 114.55
32768                 117.91
65536                 167.02
131072                237.78
262144                349.19
524288                657.52
1048576              1095.89
