# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       8.56
2                       8.61
4                       8.59
8                       8.59
16                      8.61
32                      8.58
64                      8.60
128                     9.63
256                    11.15
512                    11.40
1024                   11.62
2048                   12.03
4096                   12.49
8192                   18.88
16384                  24.66
32768                  26.39
65536                  38.19
131072                 70.76
262144                106.18
524288                210.25
1048576               400.91
