# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.02
2                       1.00
4                       1.00
8                       1.02
16                      1.02
32                      1.02
64                      1.01
128                     1.01
256                     1.02
512                     1.07
1024                    1.13
2048                    1.22
4096                    1.40
8192                    1.73
16384                   3.67
32768                   4.82
65536                   9.04
131072                 18.58
262144                 51.22
524288                101.84
1048576               143.24
