# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.10
2                       0.21
4                       0.41
8                       0.83
16                      1.65
32                      3.29
64                      6.56
128                    13.13
256                    18.17
512                    35.62
1024                   40.21
2048                  102.78
4096                  202.76
8192                  392.01
16384                 726.70
32768                1317.01
65536                1851.21
131072               2587.12
262144               3454.62
524288               4128.30
1048576              4517.38
2097152              4814.09
4194304              4925.43
