# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.88
2                       1.76
4                       3.42
8                       7.05
16                     14.12
32                     28.25
64                     56.51
128                   112.88
256                   220.27
512                   440.39
1024                  880.83
2048                 1756.28
4096                 3521.97
8192                 6781.57
16384                7674.12
32768               16746.06
65536               20404.26
131072              22458.51
262144              22903.36
524288              22967.20
1048576             22983.07
2097152             22777.06
4194304             22675.66
