# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.43
8                       0.86
16                      1.72
32                      3.45
64                      6.82
128                    13.71
256                    16.40
512                    32.22
1024                   43.47
2048                   99.49
4096                  196.62
8192                  387.04
16384                 706.98
32768                1244.47
65536                1882.06
131072               2625.66
262144               3280.13
524288               4190.46
1048576              4434.89
2097152              4884.02
4194304              4994.34
