# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.06
2                       4.49
4                       8.94
8                      17.93
16                     35.94
32                     71.99
64                    119.41
128                   260.78
256                   561.91
512                  1032.11
1024                 2013.79
2048                 3956.34
4096                 7104.00
8192                 8755.56
16384                9579.94
32768               10586.34
65536               11681.82
131072              12511.31
262144              12820.50
524288              12890.47
1048576             13003.09
2097152             13188.14
4194304             13200.96
