# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.68
2                       1.34
4                       2.75
8                       5.54
16                     11.15
32                     21.60
64                     45.29
128                    90.70
256                   182.03
512                   362.89
1024                  722.55
2048                 1386.20
4096                 2493.06
8192                 4094.09
16384                4408.83
32768                5963.80
65536                7357.45
131072               8417.27
262144              10714.69
524288              11428.53
1048576              9028.96
2097152              9427.61
4194304              9652.73
