# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      17.30
1                      17.07
2                      17.06
4                      17.04
8                      17.01
16                     17.01
32                     17.07
64                     17.24
128                    17.24
256                    20.02
512                    22.50
1024                   27.34
2048                   24.17
4096                   25.45
8192                   26.71
16384                  31.01
32768                  37.28
65536                  54.01
131072                 71.63
262144                110.03
524288                169.22
1048576               298.40
2097152               545.95
4194304              1054.75
