# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.80
1                       2.96
2                       2.96
4                       2.95
8                       2.95
16                      2.96
32                      2.96
64                      2.96
128                     3.49
256                     3.59
512                     3.63
1024                    3.71
2048                    3.91
4096                    3.94
8192                    7.01
16384                   7.81
32768                   9.11
65536                  11.42
131072                 15.76
262144                 23.11
524288                 36.78
1048576                60.37
2097152               106.52
4194304               194.68
