# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      17.71
1                      17.72
2                      17.62
4                      17.61
8                      17.58
16                     17.61
32                     17.60
64                     17.83
128                    17.74
256                    20.49
512                    23.39
1024                   27.39
2048                   25.00
4096                   25.97
8192                   26.75
16384                  29.59
32768                  37.19
65536                  53.49
131072                 82.80
262144                109.03
524288                168.18
1048576               287.77
2097152               524.32
4194304               995.91
