# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.21
1                       1.91
2                       2.55
4                       2.07
8                       2.03
16                      1.98
32                      1.95
64                      1.91
128                     1.89
256                     1.91
512                     1.93
1024                    1.95
2048                    2.00
4096                    2.12
8192                    2.40
16384                   4.24
32768                   5.39
65536                   7.31
131072                 12.26
262144                 24.73
524288                 45.72
1048576                89.42
2097152               188.59
4194304               367.47
