# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.62
1                       0.66
2                       0.66
4                       0.66
8                       0.66
16                      0.66
32                      0.64
64                      0.65
128                     0.66
256                     0.66
512                     0.70
1024                    0.75
2048                    0.78
4096                    0.91
8192                    1.48
16384                   2.51
32768                   3.83
65536                   6.88
131072                 12.97
262144                 22.37
524288                 35.30
1048576                64.18
2097152                92.56
4194304               171.59
