# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.72
1                       0.75
2                       0.75
4                       0.75
8                       0.75
16                      0.75
32                      0.75
64                      0.75
128                     0.75
256                     0.76
512                     0.80
1024                    0.83
2048                    0.88
4096                    1.00
8192                    1.22
16384                   2.30
32768                   2.88
65536                   4.14
131072                  7.68
262144                 17.81
524288                 34.42
1048576                60.98
2097152                93.42
4194304               176.64
