# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      17.75
2                      17.75
4                      17.74
8                      17.70
16                     17.80
32                     17.75
64                     17.94
128                    17.87
256                    31.83
512                    32.04
1024                   41.39
2048                   36.82
4096                   37.67
8192                   39.87
16384                  47.56
32768                  52.61
65536                  69.34
131072                 99.98
262144                162.82
524288                283.18
1048576               557.71
