# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       4.71
2                       4.69
4                       4.69
8                       4.69
16                      4.70
32                      4.69
64                      4.70
128                     4.92
256                     5.78
512                     5.84
1024                    5.91
2048                    6.11
4096                    6.29
8192                    9.40
16384                  10.58
32768                  13.35
65536                  18.88
131072                 30.56
262144                 56.84
524288                108.65
1048576               209.88
