# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.13
2                       1.08
4                       1.08
8                       1.06
16                      1.05
32                      1.04
64                      1.04
128                     1.05
256                     1.05
512                     1.09
1024                    1.14
2048                    1.23
4096                    1.37
8192                    1.70
16384                   3.42
32768                   4.84
65536                   8.06
131072                 18.63
262144                 51.04
524288                106.42
1048576               223.05
