# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       3.19
2                       3.06
4                       2.97
8                       2.91
16                      2.87
32                      2.84
64                      2.80
128                     2.78
256                     2.75
512                     2.75
1024                    2.77
2048                    2.86
4096                    2.97
8192                    3.31
16384                   6.15
32768                   8.32
65536                  13.22
131072                 25.81
262144                 62.02
524288                122.98
1048576               258.06
