# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.10
2                       0.19
4                       0.38
8                       0.75
16                      1.50
32                      3.03
64                      6.04
128                    12.12
256                    18.53
512                    36.95
1024                   34.87
2048                   89.58
4096                  178.28
8192                  358.38
16384                 658.48
32768                1229.38
65536                1739.34
131072               2521.33
262144               3300.08
524288               3972.09
1048576              4466.59
2097152              4667.73
4194304              4712.05
