# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.89
2                       1.78
4                       3.55
8                       7.09
16                     14.23
32                     28.34
64                     56.92
128                   113.86
256                   219.46
512                   436.98
1024                  875.79
2048                 1753.06
4096                 3493.11
8192                 6718.71
16384                7673.23
32768               12327.76
65536               14066.65
131072              15116.85
262144              22058.09
524288              22819.67
1048576             22047.39
2097152             21372.83
4194304             20809.55
