# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.64
2                       3.42
4                       7.41
8                      14.19
16                     29.61
32                     59.54
64                    123.27
128                   232.44
256                   487.70
512                   945.07
1024                 1826.86
2048                 3697.48
4096                 6572.86
8192                11077.68
16384               13132.50
32768               17546.67
65536               21779.85
131072              12097.61
262144              12180.51
524288              11796.69
1048576             11854.23
2097152             12100.45
4194304             12540.47
