# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.81
2                       1.62
4                       3.23
8                       6.47
16                     12.94
32                     25.32
64                     50.54
128                   102.88
256                   204.37
512                   396.95
1024                  803.32
2048                 1553.62
4096                 2900.15
8192                 5446.34
16384                5727.70
32768                8611.21
65536               11666.13
131072              14268.59
262144              15582.59
524288              15604.27
1048576              9901.23
2097152              9597.04
4194304              9725.29
