# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      17.66
1                      17.45
2                      17.42
4                      17.43
8                      17.47
16                     17.50
32                     17.50
64                     17.58
128                    17.44
256                    21.25
512                    23.95
1024                   28.11
2048                   26.18
4096                   26.73
8192                   28.02
16384                  31.01
32768                  40.79
65536                  59.55
131072                 77.53
262144                119.35
524288                175.67
1048576               292.93
2097152               519.19
4194304               968.10
