# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.81
1                       2.95
2                       2.96
4                       2.95
8                       2.95
16                      2.96
32                      2.95
64                      2.96
128                     3.49
256                     3.62
512                     3.66
1024                    3.72
2048                    3.91
4096                    4.05
8192                    7.04
16384                   8.00
32768                  10.14
65536                  12.35
131072                 16.98
262144                 24.63
524288                 38.01
1048576                61.81
2097152               105.00
4194304               189.57
