# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.22
1                       1.95
2                       1.99
4                       1.90
8                       1.86
16                      1.85
32                      1.85
64                      1.84
128                     1.86
256                     1.87
512                     1.88
1024                    1.94
2048                    1.97
4096                    2.09
8192                    2.31
16384                   4.20
32768                   5.32
65536                   7.19
131072                 12.14
262144                 24.73
524288                 45.92
1048576                90.04
2097152               163.04
4194304               304.79
