# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.61
1                       0.65
2                       0.64
4                       0.64
8                       0.64
16                      0.64
32                      0.64
64                      0.65
128                     0.66
256                     0.67
512                     0.70
1024                    0.74
2048                    0.79
4096                    0.91
8192                    1.42
16384                   2.37
32768                   3.78
65536                   6.09
131072                  7.17
262144                 17.58
524288                 30.37
1048576                45.73
2097152                85.11
4194304               165.26
