# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      36.48
2                      36.20
4                      36.15
8                      37.52
16                     36.04
32                     36.17
64                     36.53
128                    36.16
256                    67.88
512                    67.08
1024                   86.91
2048                   76.53
4096                   78.25
8192                   81.44
16384                  93.59
32768                 105.35
65536                 171.78
131072                215.49
262144                335.46
524288                593.42
1048576              1115.99
