# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      33.61
2                      33.66
4                      33.66
8                      33.68
16                     33.62
32                     33.64
64                     33.92
128                    33.76
256                    65.32
512                    64.43
1024                   82.88
2048                   74.53
4096                   76.52
8192                   79.24
16384                  91.36
32768                  99.87
65536                 151.00
131072                197.76
262144                297.04
524288                563.87
1048576              1062.68
