# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       8.58
2                       8.61
4                       8.59
8                       8.59
16                      8.58
32                      8.64
64                      8.64
128                     9.61
256                    11.13
512                    11.35
1024                   11.52
2048                   11.94
4096                   12.53
8192                   18.84
16384                  22.85
32768                  26.68
65536                  39.10
131072                 63.20
262144                111.22
524288                202.50
1048576               399.32
