# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.53
2                       2.54
4                       2.50
8                       2.49
16                      2.50
32                      2.48
64                      2.52
128                     2.50
256                     2.50
512                     2.55
1024                    2.59
2048                    2.69
4096                    2.86
8192                    3.24
16384                   6.01
32768                   8.30
65536                  13.74
131072                 25.66
262144                 53.80
524288                 90.56
1048576               166.01
