# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.22
2                       1.19
4                       2.15
8                       2.02
16                      1.45
32                      1.37
64                      1.36
128                     1.36
256                     1.37
512                     1.42
1024                    1.48
2048                    1.60
4096                    1.72
8192                    2.17
16384                   3.75
32768                   5.72
65536                  10.04
131072                 21.58
262144                 56.31
524288                113.81
1048576               226.79
