# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.06
2                       1.05
4                       1.04
8                       1.01
16                      1.01
32                      1.01
64                      1.02
128                     1.01
256                     1.02
512                     1.06
1024                    1.13
2048                    1.20
4096                    1.35
8192                    1.71
16384                   3.54
32768                   4.84
65536                   8.71
131072                 19.16
262144                 50.92
524288                106.10
1048576               220.34
