# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.90
2                       1.78
4                       3.58
8                       7.14
16                     14.30
32                     28.62
64                     57.27
128                   114.36
256                   223.88
512                   446.37
1024                  894.29
2048                 1789.09
4096                 3578.33
8192                 6856.52
16384                7435.48
32768               16801.52
65536               20392.93
131072              22410.08
262144              22810.01
524288              23021.22
1048576             22722.03
2097152             22593.69
4194304             22424.03
