# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.36
8                       0.73
16                      1.48
32                      3.11
64                      6.19
128                    12.09
256                    15.47
512                    30.15
1024                   36.32
2048                   94.65
4096                  188.73
8192                  375.73
16384                 683.15
32768                1195.48
65536                1850.27
131072               2524.80
262144               3321.92
524288               3973.23
1048576              4635.69
2097152              5026.06
4194304              5444.92
