# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.17
2                       4.31
4                       8.62
8                      18.19
16                     36.36
32                     72.69
64                    144.69
128                   288.01
256                   570.87
512                  1062.98
1024                 2060.74
2048                 4026.34
4096                 7235.55
8192                 8182.33
16384                9196.51
32768               10184.59
65536               11110.72
131072              11693.71
262144              11973.71
524288              10664.77
1048576             12163.78
2097152             12100.11
4194304             10220.65
