# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.67
2                       1.39
4                       2.80
8                       5.63
16                     11.37
32                     22.91
64                     46.03
128                    91.94
256                   183.57
512                   361.11
1024                  715.00
2048                 1397.33
4096                 2622.25
8192                 5114.62
16384                5603.62
32768                8342.73
65536               11282.76
131072              13624.88
262144              14500.35
524288              11587.00
1048576              8995.03
2097152              9583.44
4194304              9659.34
