# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.62
2                       3.32
4                       6.74
8                      13.36
16                     26.67
32                     53.58
64                    108.70
128                   212.87
256                   422.74
512                   827.92
1024                 1623.71
2048                 3207.87
4096                 5870.54
8192                10238.17
16384               12699.10
32768               17434.41
65536               16147.05
131072              11886.98
262144              12187.09
524288              11932.25
1048576             12202.87
2097152             12393.98
4194304             12525.02
