# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      17.37
1                      16.94
2                      17.00
4                      16.94
8                      16.96
16                     17.00
32                     17.07
64                     17.09
128                    17.06
256                    19.84
512                    22.90
1024                   26.99
2048                   24.30
4096                   24.77
8192                   26.18
16384                  29.71
32768                  36.12
65536                  50.68
131072                 71.06
262144                103.03
524288                162.67
1048576               275.12
2097152               511.61
4194304               983.06
