# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.80
1                       2.95
2                       2.94
4                       2.94
8                       2.95
16                      2.94
32                      2.94
64                      2.95
128                     3.48
256                     3.59
512                     3.62
1024                    3.69
2048                    3.90
4096                    4.03
8192                    7.07
16384                   8.24
32768                  10.42
65536                  13.72
131072                 18.33
262144                 25.72
524288                 39.45
1048576                62.92
2097152               105.44
4194304               188.18
