# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      17.41
1                      17.41
2                      17.37
4                      17.37
8                      17.37
16                     17.38
32                     17.41
64                     17.58
128                    17.48
256                    20.34
512                    23.57
1024                   27.82
2048                   25.24
4096                   26.20
8192                   28.36
16384                  32.04
32768                  42.24
65536                  55.79
131072                 76.46
262144                116.22
524288                180.13
1048576               304.18
2097152               538.01
4194304              1000.17
