# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.96
1                       0.85
2                       0.81
4                       0.80
8                       0.79
16                      0.78
32                      0.78
64                      0.78
128                     0.78
256                     0.78
512                     0.81
1024                    0.85
2048                    0.90
4096                    1.04
8192                    1.25
16384                   2.49
32768                   3.09
65536                   4.37
131072                  8.56
262144                 19.63
524288                 37.88
1048576                71.74
2097152               149.02
4194304               267.31
