# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.23
1                       1.89
2                       1.85
4                       1.83
8                       1.93
16                      1.89
32                      1.85
64                      1.83
128                     1.84
256                     1.85
512                     1.87
1024                    1.91
2048                    1.96
4096                    2.11
8192                    2.29
16384                   4.16
32768                   5.47
65536                   7.47
131072                 12.49
262144                 25.31
524288                 47.22
1048576                91.56
2097152               179.96
4194304               316.17
