# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.58
2                       2.60
4                       2.59
8                       2.60
16                      2.57
32                      2.54
64                      2.54
128                     2.54
256                     2.55
512                     2.60
1024                    2.68
2048                    2.76
4096                    2.94
8192                    3.32
16384                   6.08
32768                   8.45
65536                  13.67
131072                 28.31
262144                 61.49
524288                122.68
1048576               202.24
