# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      45.77
2                      45.50
4                      45.59
8                      45.67
16                     45.76
32                     45.54
64                     45.54
128                    45.51
256                    45.59
512                    45.68
1024                   45.81
2048                   45.83
4096                   46.74
8192                   49.69
16384                  50.64
32768                  48.40
65536                  49.00
131072                 49.48
262144                 51.47
524288                 57.64
1048576                99.63
