# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.90
1                      27.86
2                      25.23
4                      27.57
8                      25.79
16                     26.11
32                     31.88
64                     30.14
128                    26.23
256                    25.72
512                    26.11
1024                   26.08
2048                   26.38
4096                   26.37
8192                   26.35
16384                  26.61
32768                  23.65
65536                  23.67
131072                 24.11
262144                 26.14
524288                 30.87
1048576                33.91
2097152                35.45
4194304                38.22
