# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.33
1                       1.98
2                       1.97
4                       1.98
8                       1.97
16                      1.97
32                      1.96
64                      1.97
128                     1.97
256                     1.98
512                     2.01
1024                    2.05
2048                    2.11
4096                    2.22
8192                    2.45
16384                   4.21
32768                   5.42
65536                   7.47
131072                 13.01
262144                 25.68
524288                 48.16
1048576                89.75
2097152               154.80
4194304               296.20
