# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.29
2                       6.28
4                       6.29
8                       6.28
16                      6.24
32                      6.31
64                      6.32
128                     6.93
256                     8.72
512                     8.92
1024                    9.11
2048                    9.69
4096                    9.96
8192                   16.53
16384                  18.72
32768                  19.58
65536                  23.58
131072                 32.58
262144                 50.41
524288                 89.49
1048576               160.06
